uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
af3f40af40d3b3974fe0bc68a8fa0424,"Texcoco, Méx. La Universidad Autónoma Chapingo (UACh) anunció que llevará a cabo la aplicación del examen de admisión para ingresar a la Preparatoria Agrícola y Propedéutico el próximo 3 de octubre de manera presencial a más de 25 mil 700 aspirantes, con el protocolo sanitario estipulado por las autoridades debido a la pandemia de Covid-19.Señaló que los resultados serán publicados el sábado 31 de octubre.El Jefe del Departamento de Admisión y Becas, Gilberto Aranda Osorio, destacó que en la sede central, ubicada en el municipio de Texcoco, se aplicarán 10 mil 77 exámenes, en tanto el restante, 15 mil 660, serán aplicados en las 86 sedes que se tienen en 27 estados del país.Destacó que de los 25 mil 737 jóvenes, 10 mil 99 solicitaron ingresar a la Preparatoria Agrícola, en tanto que 15 mil 638 se registraron para Propedéutico, para luego luego elegir una de las 27 ingenierías y licenciaturas de corte agrícola, pecuario, forestal, y agroindustrial que se imparten.“Hay que destacar que en las instalaciones de Chapingo, la universidad planea aplicar el examen en dos turnos, para mantener la sana distancia entre los jóvenes aspirantes y evitar la concentración de éstos en los salones y auditorios”, dijo.Informó que las autoridades universitarias trabajan en la planeación del examen, por lo que se han solicitado ya los permisos a las autoridades de la Secretaría de Educación Pública y de Salud, para que se permita el acceso y aplicación del mismo en los planteles que son sede, a fin de llevar a cabo los trabajos para sanitizar y desinfectar los espacios, con la finalidad de proteger la salud de los aspirantes.Exhortó a los jóvenes que van a presentar examen, asistir, en la medida de lo posible solos o bien con un acompañante para evitar aglomeraciones.“Recordemos que debemos de mantener la sana distancia, además de cumplir con los protocolos establecidos como el uso del cubrebocas, caretas y gel antibacterial, recomendaciones tanto para los aspirantes como el personal académico, administrativo y alumnos que participan en la aplicación del examen”.Conminó a los solicitantes mantenerse atentos a los comunicados oficiales de la universidad para cualquier eventualidad que se presente, principalmente por la contingencia sanitaria, por lo que subrayó cumplir con las medidas de protección.En un comunicado, Aranda Osorio, aseguró que la demanda de ingreso proviene, principalmente de los estados de México, Oaxaca, Chiapas, Puebla, Veracruz, Morelos y Guerrero.Apuntó que los jóvenes que entren a la Preparatoria o Propedéutico, podrán iniciar sus estudios en la unidad central, o en las Unidades y Centros Regionales Universitarios que se localizan en Durango, Zacatecas, Tabasco, Veracruz, Oaxaca y Yucatán.La UACh afirmó que determinará, mediante un estudio socioeconómico, quienes de los alumnos de nuevo ingreso son candidatos para ser becados internos o becados externos.Éstos últimos tienen la opción de ser considerados para vivir en la Unidad de Servicios Habitacionales, cercana a Chapingo en donde tienen que pagar una renta simbólica, la cual es descontada de la misma beca que se les otorga.Expuso que quienes sean calificados como becados internos, tendrán derecho al internado, que se encuentra dentro de las instalaciones de la sede central; además de otros servicios asistenciales como son uso de comedores, lavandería, peluquería y zapatería, entre otros. Los resultados podrán consultarse en la página oficial de la universidad www.chapingo.mx el 31 de octubre.",Aplicará UACh examen de admisión el próximo 3 de octubre,https://www.jornada.com.mx/ultimas/estados/2020/09/06/aplicara-uach-examen-de-admision-para-la-preparatoria-agricola-3986.html,lajornada,www.jornada.com.mx,6,255
f7ab143dd780fce9c49d17ce256f51ce," En algún momento de los dos meses siguientes tendremos que decidir si absolveremos al pueblo estadunidense si relige a Donald Trump. Hubo un tiempo en 2016 –pese a que Michael Moore ya describía al candidato como un perverso, ignorante y peligroso payaso de medio tiempo y sociópata de tiempo completo– en que quizás habríamos disculpado a los electores de ese país si resultara que habían cometido un error en esa primera vez. Hasta los demócratas seguían farfullando después de la elección que quizá Trump llegaría a volverse presidencial. Pero esas excusas ya no valen el día de hoy.Para algunas naciones, no importa. Pregunten a los árabes. Es un extraño fenómeno que, cuando los obligan a votar por su tirano local en elecciones por completo fraudulentas, los perdonamos por su elección considerando que las votaciones son una farsa o que no tienen alternativa, o porque –digámoslo con franqueza– se trata sólo de las masas árabes y los occidentales preferimos tratar con sus amos sobre la base de si esos dictadores harán lo que queremos. Aún más extraño es que, mientras más alto es el falso porcentaje que los autócratas sueñan –y mientras más legitimados se sienten–, más reconocemos su poder y aceptamos sus dichos.Así, después que el mariscal de campo Abdel Fatah el-Sisi –cuyos servicios de seguridad habían dado muerte a miles de egipcios, aprisionando a decenas de miles más y destruido la libertad de expresión– ganó la elección presidencial de 2018 con 97 por ciento de los votos, Trump lo llamó para ofrecer sus sinceras felicitaciones. Un año después se refería a Sisi como su dictador favorito. Pero cuando el pobre Alexander Lukashenko alardeó de un mero 80.1 por ciento de la votación presidencial en Bielorrusia, este mes, Trump habló de una terrible situación en ese país.Esto ocurre una y otra vez. Nadie cuestiona el afecto de los jordanos por su intrépido reyezuelo Abdalá, aunque nadie les ha pedido votar en una elección monárquica (o ni siquiera presidencial). De todos modos, sabemos cuál sería el resultado. En cuanto al viejo sha de Irán, no necesitó triunfar en elecciones inexistentes después de que Jimmy Carter se refirió al respeto, admiración y amor que su pueblo le profesa cuando cenó con él en Teherán en 1977. Fue un acto casi trumpiano en su irrealidad. En cambio resultó un poco demasiado, sobra decirlo, cuando Saddam Hussein ganó un referendo en 2002 con 100 por ciento de los votos… después de todo, ya lo estábamos perfilando como el Hitler árabe para la invasión del año siguiente.Pero en 2014 Assad se atribuyó una victoria de 88.7 por ciento en la elección presidencial, que fue aprobada por Rusia –reconociendo caritativamente que un montón de sirios no pudieron votar a causa de la guerra civil– y por la cual Assad recibió la felicitación nada menos que de Alexander Lukashenko y de Afganistán (cuyas falsas elecciones presidenciales obtuvieron la congratulación de Barack Obama a Hamid Karzai en 2009). Los consejeros de Trump lograron disuadirlo de felicitar también a Assad.Así pues, cuando se trata de los ciudadanos de esos países, en realidad no los tomamos en cuenta. Sabemos lo que valen sus votos. Tan conscientes estamos de la naturaleza opresiva de los regímenes árabes que, cuando nos disponemos a bombardearlos, nos vamos a los extremos para asegurar a los árabes que viven en Medio Oriente que en realidad no estamos contra ellos… sólo contra sus dictadores. Desde luego, cada vez que un presidente de Estados Unidos anuncia que no está contra el pueblo de Libia/Irak/Siria (bórrese según corresponda) –sino sólo contra los tiranos–, podemos estar seguros de que los millones de civiles que viven dentro de sus fronteras correrán hacia sus refugios antiaéreos.El enorme respeto, admiración y amor que sentimos por los árabes cuando vamos a la guerra no los salvará de nuestros misiles. Miremos a Trípoli, Bagdad, Mosul y Raqqa.De hecho, Irak ofrece el ejemplo más poderoso de por qué los árabes deben recelar de las promesas estadunidenses de afecto. De las decenas de miles de iraquíes que perecieron del modo más terrible bajo fuego estadunidense en los años posteriores al derrocamiento de Saddam en 2003, muchos sin duda poseían el voto democrático que se les confirió en las elecciones que siguieron a la invasión angloestadunidense. En realidad, gracias a la invasión, tuvieron algo que decir sobre el futuro de su país. De mucho que les sirvió una vez muertos.En cambio, cuando se trata de Occidente, se aplica un conjunto diferente de normas. Como este 3 de septiembre marcó el aniversario del día en que Gran Bretaña y Francia desenvainaron la espada por la más o menos democrática Polonia en 1939, vale la pena recordar que, pese a una masiva violencia e intimidación, Hitler nunca obtuvo en realidad una mayoría en elecciones democráticas en Alemania: fue la subsecuente ley de habilitación de los nazis la que le concedió poderes dictatoriales. Sin embargo, nadie dudó que la mayoría de los alemanes apoyaron a Hitler una vez que comenzó la Segunda Guerra Mundial, y por tanto hubo poca simpatía por las víctimas civiles del conflicto (salvo en personas como el arzobispo de Chichester, Vera Brittain y, en una ocasión, Winston Churchill). No fueron absueltos de los crímenes de Hitler.Resulta interesante que a los italianos los tratamos mejor, aunque Mussolini, después de ejercer violencia e intimidación, sí obtuvo una mayoría en las elecciones de 1924. Tal vez porque era un bufón y su malignidad era menos obvia que la de Hitler –y en especial porque el país cambió de bando en 1943–, los italianos fueron perdonados. Mussolini, como Trump, era un sicópata ridículo, malvado, perverso e ignorante –aquí se aplican también las palabras de Moore–, pero fue despachado con una bala y colgado de manera ritual de una viga en una gasolinera (boca abajo), lo que de algún modo absolvió a su pueblo. Por necesidad evitaremos aquí toda mención de los dictadores fascistas Franco y Salazar (porque ayudaron a los aliados cuando fue obvio que Hitler estaba condenado). La neutralidad portuguesa fue por ello más valiosa que la irlandesa, la cual sin duda fue apoyada por el pueblo que eligió democráticamente a Eamon de Valera como su Taoiseach. Pero Gran Bretaña quiso en 1940 que le devolvieran los puertos navales cedidos por tratado y los irlandeses no quisieron entregarlos, así que Churchill no los perdonó. Tampoco los estadunidenses los perdonaron más tarde, y demoraron el intento irlandés de unirse a las nuevas Naciones Unidas.En la Europa actual, supongo que el húngaro Orban –un poco bufón, pero autócrata de todos modos– se acerca más a Mussolini, aunque nadie pone en disputa los resultados del populista de derecha en las elecciones de su país, aunque su conducta dejara que desear. La nueva legislación le permite gobernar por decreto. Es un juego de manos como los que eran de esperarse en la década de 1930. Las elecciones en Polonia tienen mejor registro, pese a las campañas xenófobas, así que no es mucho lo que podemos hacer para cambiar los aspectos antidemocráticos de sus resultados. Pero esas son naciones de Europa oriental (o central), y es probable que todavía tengamos conciencia culpable por haberlas dejado –en especial a Polonia– soportar la hegemonía rusa durante más de cuatro décadas.Cuando el Reino Unido eligió salir de la Unión Europea, pudimos afirmar –con muy buenas razones– que el electorado había sido embaucado, que le habían mentido, que el referendo en sí estuvo mal construido. Muchos europeos –y un montón de británicos– lo consideraron una aberración. Sin embargo, las elecciones generales del año pasado cambiaron todo: Gran Bretaña ya no pudo lavarse las manos ni su pueblo ser absuelto de sus pecados. Afirmar que la retirada del Reino Unido no fue más que un mero reflejo de su retiro del imperio –Palestina, India, tal vez el último hurra en Suez– ya no fue suficiente para perdonar al pueblo por esa locura. ¿Dónde deja todo esto a Estados Unidos? Todos hemos decidido contener más o menos el aliento hasta noviembre, sobre la base de que será el momento en que el país gire en redondo, recupere su antiguo prestigio y los demócratas triunfantes nos ofrezcan disculpas a todos por los desquiciados años de Trump. Como todos los esnobs, hemos adoptado la opinión de que Trump en realidad no representa los valores estadunidenses, así como los dictadores árabes no reflejan las opiniones de su pueblo. De hecho, más bien hemos tratado a Estados Unidos como si fuera una tiranía, y a su lunático presidente como un cruce entre la ostentación de Mohammad bin Salman y la chifladura de Kadafi. Mi colega Patrick Cockburn ha esbozado con ingenio los paralelos con Saddam Hussein.Hemos esperado, orado y nos hemos inducido a creer que fue sólo una autocracia temporal, una desviación, un viejo y confiable amigo que padece una enfermedad mental seria, pero al final curable. Sin embargo, mientras más observo a la élite demócrata alinearse detrás del nada inspirador Joe Biden, dando pasos vacilantes entre la condena y el lugar común –¿quién creería que escucharíamos al anciano hablar esta semana a sus partidarios de sanar y mirar hacia delante?–, más me pregunto cómo miraremos a los estadunidenses si los años de Trump se convierten en la era de Trump, o si su temible y ambiciosa familia se transforma en el califato Trump. Sin duda, el viejo lenguaje estalinista y de la Cortina de Hierro acerca del imperialismo y sus tigres de papel resurgirá bajo nuevas formas.¿Cómo reaccionaremos si se cruza la línea, si el Estados Unidos con el que sentíamos que al final siempre podíamos contar –una vez que se hubiera sacudido la pequeña desventura trumpiana– se convierte en una nación en la que nunca podremos confiar?© The IndependentTraducción: Jorge Anaya  ",¿Qué haremos si gana Trump? / Robert Fisk,https://www.jornada.com.mx/ultimas/mundo/2020/09/06/que-haremos-si-gana-trump-robert-fisk-6105.html,lajornada,www.jornada.com.mx,6,776
4ba3f91f9046c0dc965b37f6be236f5b,"Ciudad de México. La prolongada permanencia de la crisis de inseguridad que vive el país se debe, entre otros factores, a la ambición de poder, de riqueza, a la ignorancia y a la indigencia, así como a la corrupción y a la falta de reconocimiento de la común dignidad de todo ser humano, señaló el arzobispo primado de México, Carlos Aguiar Retes.En la misa dominical que celebró este mediodía, la primera que realiza con presencia de fieles en la Basílica de Guadalupe, expuso que la crisis de inseguridad “necesita justicia salvífica, es decir, atención tanto a los factores que la causan como a quienes la provocan”.Por otra parte, dijo que la pandemia de Covid-19 y la crisis sanitaria “exigen nuestra responsabilidad mirando el bien del prójimo, en tanto que la crisis económica, “pide nuestra solidaridad y capacidad de compartir con el necesitado”.Durante su homilía, Aguiar Retes también se refirió a la crisis ecológica y mencionó que ésta “revela la importancia de una consciente vocación como administradores de la Creación y no como dueños”.Por otra parte, en la editorial que publica hoy, la Arquidiócesis de México se pronunció por la unidad de trabajo entre las autoridades civiles y las comunidades eclesiales para restaurar y levantar las iglesias afectadas por el sismo del 19 de septiembre de 2017, que afectó a muchos templos que son parte del patrimonio histórico, artístico y religioso del país.“Dejar que estos sitios sean presa del descuido, el abandono, y la inseguridad, es atentar contra nuestra historia”, destacó en el semanario Desde la Fe, su órgano de difusión.Expuso que “no queremos caer en el desánimo, ni en el cansancio; aunque tenemos muchos reportes de avances y muy buenos, necesitamos más. Confiamos en que las autoridades cumplirán su palabra empeñada en los itinerarios de restauración para continuar el rescate de este patrimonio”.La Iglesia en la capital del país reconoció que son muchos los daños y que los costos para poderlos intervenir son altos. Además, añadió, “es un hecho que la situación económica y la pandemia (de Covid-19) han complicado los avances”. Sin embargo, “mantenemos la confianza en que todo será restaurado y, de nuestra parte, nos comprometemos a que, después de la aplicación de los recursos asignados, colaboraremos junto con el pueblo de Dios en los detalles de mejoramiento”. ",Aguiar celebra la primera misa con fieles en la Basílica en meses,https://www.jornada.com.mx/ultimas/sociedad/2020/09/06/aguiar-celebra-la-primera-misa-con-fieles-en-la-basilica-en-meses-2193.html,lajornada,www.jornada.com.mx,7,172
83c8af1f7926adbfcc86337b7a983c70,"Ciudad de México. La Subsecretaría de Derechos Humanos, Población y Migración, de la Secretaría de Gobernación informa que autoridades federales y de la Ciudad de México acudieron a las instalaciones de la Comisión Nacional de los Derechos Humanos (CNDH), para entablar un diálogo con las personas que se manifiestan en dicha sede, escuchar sus demandas y establecer una ruta de atención victimal, así como acceso a la verdad y la justicia para las víctimas.Entre las autoridades que acudieron a las instalaciones de la CNDH ubicadas en el Centro Histórico de la Ciudad de México estuvieron la titular de la Comisión Nacional para Prevenir y Erradicar la Violencia contra las Mujeres (Conavim), Fabiola Alanís Sámano, y la coordinadora general de Investigación de Delitos de Género y Atención a Víctimas de la Fiscalía General de Justicia de la Ciudad de México, Nelly Montealegre Díaz, además de servidoras públicas de la Subsecretaría de Derechos Humanos, Población y Migración de Gobernación, así como de la Secretaría de las Mujeres capitalina.Pese a la negativa de quienes se manifiestan para entablar diálogo y expresar sus demandas, las autoridades reiteraron la apertura, a fin de escuchar y trabajar para y con las mujeres, así como su disposición para establecer una mesa de trabajo, ya que señalaron que es a partir de un diálogo franco, abierto y continuo que se podrá dar cause a las peticiones y concretar una ruta para dar seguimiento a los casos de las víctimas.Por otro lado, la Fiscalía General de Justicia de la Ciudad de México informó a la Conavim que, como resultado de la reunión del pasado 24 de agosto entre su titular y Yesenia Zamudio Solórzano, se logró acordar una agenda de trabajo conjunta para el seguimiento de la investigación del caso de su hija, así como de otros 17 casos.La Secretaría de Gobernación, a través de la Subsecretaría de Derechos Humanos, Población y Migración, así como de la Conavim, reitera su respeto a la libertad de ex presión.Asimismo, reconoce la gravedad de las violencias que viven las mujeres en México y refrenda su compromiso para trabajar en coordinación con las autoridades federales y locales, así como la sociedad civil para garantizar a las niñas y mujeres en el país una vida libre de violencias.Desde el jueves 3 de septiembre un grupo de mujeres mantiene tomada la sede del Centro Histórico de la CNDH, a raíz de la protesta, un día antes, de familias víctimas de delitos contra niñas y niños en el estado de San Luis Potosí.Las familias fueron atendidas por la Subsecretaría de Derechos Humanos, Población y Migración y la CNDH, además que el subsecretario de Gobernación, Alejandro Encinas Rodríguez, atendió personalmente a Silvia Castillo y la familia Cuello Alemán, con objetivo de trazar una ruta de atención en torno a sus casos.Ambas familias se encuentran en un lugar seguro para el seguimiento de sus casos y abandonaron las instalaciones de la CNDH. No obstante, la toma sigue por colectivos feministas y víctimas, predominantemente de violencias contra las mujeres, a quienes se les refrendó la disposición al diálogo.",Autoridades dialogan con mujeres que tomaron la CNDH,https://www.jornada.com.mx/ultimas/sociedad/2020/09/06/autoridades-dialogan-con-mujeres-que-tomaron-la-cndh-387.html,lajornada,www.jornada.com.mx,5,246
b59a5ec4bd3c27d38b8f521bdae0af25,"Ciudad de México. El gobierno federal, por medio de la Secretaría de Economía (SE), creó un foro que conectará a las mujeres empresarias mexicanas con el fin de ayudarlas a exportar sus productos a empresas de Estados Unidos y Canadá.En conferencia de prensa, Graciela Márquez, titular de la SE, informó que el foro, denominado Rueda de Negocios Mujer Exporta Mx, se realizará entre el 26 y 30 de octubre próximos. Las inscripciones para participar comenzarán el 9 de septiembre.“Lo que se busca con este espacio es ampliar oportunidades de inversión a empresarias mexicanas con Canadá y Estados Unidos en el marco del T-MEC”, dijo la funcionaria.Nadine Gasman, presidenta del Instituto Nacional de las Mujeres (Inmujeres), explicó que la estrategia del gobierno es potenciar el empoderamiento y la autonomía económica de las mujeres.“Mujeres empresarias mexicanas no tienen miedo a fracasar en la exportación, sino al contrario, confían en sus capacidades”, comentó.Hacen falta herramientas y difusión, dado que, según datos oficiales, 80 por ciento de las mujeres empresarias mexicanas no conocen los créditos que el gobierno entrega por medio de Inmujeres, añadió.Entre los desafíos que enfrentan las mujeres empresarias se encuentra el tener acceso a redes de negocios que les faciliten la exportación, contar con opciones para construir redes de apoyo, identificar oportunidades para sus productos, acceso a financiamiento e identificar a socios comerciales, agregó.El foro conectará a pequeñas y medianas empresas en manos de mujeres, con empresas de Estados Unidos y Canadá, interesadas en adquirir los bienes y servicios que ofrecen.Por este motivo, no habrá un límite de empresas mexicanas que se puedan registrar para el foro, pues las citas dependerán de la cantidad de compradores de Estados Unidos y Canadá que estén interesadas en los productos mexicanos.  ",Crea SE foro para ayudar a mujeres empresarias a exportar,https://www.jornada.com.mx/ultimas/economia/2020/09/06/crean-foro-para-ayudar-a-mujeres-empresarias-a-exportar-8281.html,lajornada,www.jornada.com.mx,6,144
a1ed3ccf83799ae519b04425d8d6aa9e,"Londres. El fundador de Wikileaks, Julian Assange, se dispone a luchar por su libertad en un tribunal británico después de una década de drama legal, impugnando el intento de las autoridades estadunidenses de extraditarlo por cargos de espionaje relacionados con la publicación de documentos militares confidenciales en su portal.Abogados de Assange y del gobierno de Estados Unidos tienen programada una audiencia de extradición mañana lunes en Londres, la cual había sido aplazada debido a la pandemia del coronavirus.Fiscales estadunidenses encausan al australiano de 49 años de edad por 18 cargos de espionaje y uso indebido de equipo de cómputo, mismos que suman una sentencia de 175 años de cárcel. Sus abogados aseguran que su proceso es un abuso de autoridad con trasfondo político que sofocará la libertad de prensa y pondrá a los periodistas en riesgo.Jennifer Robinson, abogada de Assange, dijo que el caso “es, en esencia, sobre derechos humanos básicos y libertad de expresión”.“Los periodistas y los denunciantes que dan a conocer actividad ilícita de compañías o gobiernos y crímenes de guerra —tales como las publicaciones por las que Julian ha sido acusado— deberían estar protegidos de ser enjuiciados”, declaró.Fiscales estadunidenses alegan que Assange es un delincuente y no un paladín de la libertad de expresión. Al tiempo, el programador alega que es un periodista protegido por la Primera Enmienda de la Constitución de Estados Unidos, y afirma que los documentos filtrados exhibían un comportamiento indebido del ejército.",Assange impugnará intento de extradición de EU,https://www.jornada.com.mx/ultimas/mundo/2020/09/06/assange-impugnara-intento-de-extradicion-de-eu-3212.html,lajornada,www.jornada.com.mx,5,118
e78a0aefc36c825175225c2f96908050,"Venecia. Como un testimonio íntimo, para no olvidar, el célebre músico brasileño Caetano Veloso narra en un documental, presentado este domingo a la prensa en la Mostra de Venecia, los 54 días pasados en la cárcel durante la dictadura militar en Brasil (1964-1985).Con el título ""Narciso Fuera de Servicio"", el músico bahiano, de 78 años, cuenta su arresto en 1968 por orden de los militares, entona algunas canciones y de alguna manera alerta a las nuevas generaciones sobre los peligros de las doctrinas fascistas.Escrito y dirigido por Renato Terra ( Una noche en el 67) y Ricardo Calil ( Cine Marruecos), el documental, de 83 minutos de duración, es también una suerte de denuncia de las persecuciones y los prejuicios políticos contra el mundo del arte.Veloso, figura clave para la cultura popular brasileña y un referente mundial de la música sudamericana, no pudo asistir al estreno en Venecia debido a las limitaciones impuestas por las autoridades italianas a causa de la pandemia de coronavirus.Después de tres décadas de avances en materia de derechos individuales tras la salida de la dictadura militar (1964-1985) y trece años de gobiernos izquierdistas (2003-2016), la voz de la resistencia en Brasil, como suele ser considerado Veloso en su país, rememora esa dolorosa experiencia, que marcó su vida y la de su país.Sílabas y endecasílabos Los largos días pasados en una celda solo, sus sentimientos, miedos y pensamientos, inclusive sexuales, son de alguna manera una invitación a reflexionar sobre lo que implica el empuje conservador de estos días, que encontró su expresión en el discurso del gobierno del derechista y ex militar Jair Bolsonaro.El músico, poeta y activista, deja su testimonio, para que de alguna manera las nuevas generaciones no olviden lo que fue la dictadura militar.Con su testimonio, tierno y conmovedor, Veloso denuncia esos años negros.""Desde mi celda escuchaba gritos, eran de las personas que estaban siendo torturadas. ¡Yo estaba aterrado!"", confiesa sentado ante la cámara fija frente a un muro color gris metálico.En el documental, el artista rememora el período del encierro y revive episodios dolorosos e inolvidables vividos con otros prisioneros, entre ellos con el cantautor Gilberto Gil, su amigo, los dos representantes del movimiento musical Tropicalia y encarcelados por ofender a la bandera y el himno nacional.Ambos tuvieron que exiliarse al ser excarcelados y continuaron en Europa su labor creativa.Con tono casi divertido relee el interrogatorio hecho por la policía y recientemente hallado en los archivos de la institución, en el que lo acusan de ""terrorismo cultural"" por haber cambiado las palabras del himno nacional.""No se puede: el himno tiene versos endecasílabos y en Tropicalia las sílabas son más largas y poéticas"", respondió, según reza el documento.""Traté de defenderme sin ser traidor"", comenta ante la cámara.Presentado en Venecia fuera de concurso, el filme que no lleva otras imágenes ni otras entrevistas, es un largo relato sobre esos días, sobre las arbitrariedades cometidas por los militares y de cómo nació una forma de resistencia contra la dictadura a partir de un nuevo género musical, Tropicalia, una mezcla libre de géneros y ritmos. ",Documental de Veloso narra su paso por cárcel en la dictadura de Brasil,https://www.jornada.com.mx/ultimas/espectaculos/2020/09/06/documental-de-veloso-narra-su-estancia-en-la-carcel-durante-la-dictadura-3910.html,lajornada,www.jornada.com.mx,7,257
7d7387bc2276364c613e696deff25db9,"Ciudad de México. El subsecretario de Prevención y Promoción de la Salud, Hugo López-Gatell, informó que este día se sumaron las confirmaciones de 4 mil 614 casos de Covid-19, con lo que el registro nacional llegó a 634 mil 23. También se tuvo el resultado de las pruebas de laboratorio de 232 fallecimientos, para un total hasta el día de hoy de 67 mil 558 personas que han perdido la vida por esta causa.Indicó que hay 82 mil 215 casos sospechosos. Se han realizado un millón 431 mil 633 pruebas, de las cuales 715 mil 395 tuvieron un resultado negativo para el virus SARS-CoV-2. De las personas que han enfermado con el coronavirus, 442 mil 268 se han recuperado.El funcionario reiteró que las medidas de prevención, realizadas por todas las personas tienen un efecto importante en la reducción del contagio del coronavirus. Estas son mantener la sana distancia entre personas, al menos un metro y medio; el lavado constante de manos y el uso de cubrebocas como auxiliar en los espacios cerrados donde se dificulta mantener el distanciamiento entre individuos.También exhortó a la población a que ante la presencia de síntomas como, tos, fiebre, falta de aire, dolor de cabeza, pérdida del olfato y diarrea, entre otros, acudan a los servicios médicos, sobre todo si viven con alguna de las condiciones identificadas como de riesgo para desarrollar complicaciones graves por Covid-19: personas mayores de 60 años, si viven con obesidad, diabetes e hipertensión u otras enfermedades crónicas.",Registro nacional de contagios de Covid-19 llega a 634 mil 23 afectados,https://www.jornada.com.mx/ultimas/politica/2020/09/06/registro-nacional-de-contagio-de-covid-llega-a-634-mil-23-afectados-8832.html,lajornada,www.jornada.com.mx,6,110
a04f717bc0cd00fd638da1b1011cffe4,"Ciudad de México. Un juez de control vinculó a proceso a Francisco San Juan “N”, por la probable comisión del delito de violación equiparada, informó la Fiscalía General de Justicia. Durante la audiencia inicial, el representante social, adscrito a la Coordinación General de Delitos de Género y Atención a Víctimas formuló la imputación respectiva. Una vez que el juez calificó como legal la detención, le impuso prisión preventiva oficiosa, como medida cautelar y fijó dos meses para el cierre de la investigación complementaria. El imputado fue detenido en la alcaldía Miguel Hidalgo luego de que la víctima solicitara auxilio a policías preventivos de la Secretaría de Seguridad Ciudadana. Los elementos lo pusieron a disposición del Ministerio Público y, de acuerdo con la indagatoria, presuntamente agredió sexualmente con violencia moral a la denunciante, en el parque Tamayo, ubicado en el Bosque de Chapultepec. ",Vinculan a proceso a presunto violador,https://www.jornada.com.mx/ultimas/capital/2020/09/06/vinculan-a-proceso-a-presunto-violador-3649.html,lajornada,www.jornada.com.mx,4,82
c882a9b9bb16a4686609fbc8896e0e51,"Ciudad de México. A través de su cuenta de Twitter, el diputado Porfirio Muñoz Ledo confirmó que buscará la dirigencia nacional de Morena, junto con la senadora Citlalli Hernández como secretaria general.“En reunión con la dirigencia de Morena agradecí la propuesta de presidir el partido junto con @CitlaHM como Secretaría General. Ofrecí trabajar por una candidatura de unidad, honestidad y lealtad a la 4T. ¡Gracias por su confianza!”, escribió en la red social.",Muñoz Ledo y Citlalli Hernández van juntos por dirigencia de Morena,https://www.jornada.com.mx/ultimas/politica/2020/09/06/munoz-ledo-y-citlalli-hernandez-van-juntos-por-dirigencia-de-morena-3730.html,lajornada,www.jornada.com.mx,8,40
